Case,label,sensor_source,relay_duration_s,relay_edge_count,command_lock,coil_corroboration,compact_burst,settling_decay,rail_switching,sensor_duration_s,sensor_edge_count,threshold_occupancy,threshold_crossings,state_sensor_consistency,sensor_timing,sensor_event_position,sensor_precedes_coil,coil_precedes_contact
Relay bounce,relay_00,measured_state,0.005940000000000001,7,0.7070409693051616,0.8635817900415643,0.6095709072963093,1.0,0.9520267927037431,0.005940000000000001,7,0.37919463087248323,0.2857142857142857,0.0999597101754176,0.1283797040334916,0.03477110737085422,,
Relay bounce,relay_01,measured_state,0.00604,7,0.7310062032185074,0.8928529928432785,0.6045122567208023,1.0,0.9531641281359339,0.00604,7,0.3696369636963696,0.2857142857142857,0.05693917536034372,0.11386258316700357,0.031908352964470206,,
Relay bounce,relay_02,measured_state,0.006100000000000001,7,0.7261490370736912,0.8869204367171577,0.6014972392621287,1.0,0.9499316938127301,0.006100000000000001,7,0.3758169934640523,0.14285714285714285,0.0279041174710316,0.08160129483554458,0.03256851388246616,,
Relay bounce,relay_03,measured_state,0.006200000000000001,7,0.7457735080913924,0.9108898197456125,0.5965055896949684,1.0,0.9512709805440253,0.006200000000000001,7,0.3504823151125402,0.42857142857142855,0.07956128027899859,0.3652044809855215,0.029526160118505583,,
Relay bounce,relay_04,measured_state,0.00614,7,0.716531310573789,0.8751733190429482,0.5994955864060637,1.0,0.9528212870943595,0.00614,7,0.32792207792207795,0.2857142857142857,0.09389297251974801,0.11386258316700437,0.03340404320648233,,
Relay bounce,relay_05,measured_state,0.0057,7,0.7557837414557262,0.9231163463866366,0.62188505646502,1.0,0.9552266237001704,0.0057,7,0.43006993006993005,0.14285714285714285,0.03858186604173081,0.10373557672481289,0.028344440682576365,,
Relay bounce,relay_06,measured_state,0.005899999999999999,7,0.7408182206817175,0.9048374180359601,0.611606200591592,1.0,0.951958834191246,0.005899999999999999,7,0.3918918918918919,0.14285714285714285,0.0003823030509510716,0.12173482699517214,0.03055391657877035,,
Relay bounce,relay_07,measured_state,0.006000000000000002,7,0.7261490370736912,0.8869204367171577,0.6065306597126333,1.0,0.9551671155616461,0.006000000000000002,7,0.4119601328903654,0.2857142857142857,0.14527383496523794,0.09322279846372529,0.0324832062107557,,
Relay bounce,relay_08,measured_state,0.00604,7,0.7310062032185074,0.8928529928432785,0.6045122567208023,1.0,0.9472618718596216,0.00604,7,0.33993399339933994,0.42857142857142855,0.06805135344556593,0.1398341976955889,0.031575806285828734,,
Relay bounce,relay_09,measured_state,0.005819999999999999,7,0.7261490370736912,0.8869204367171577,0.6156971967642851,0.9928053803045812,0.9482074281847332,0.005819999999999999,7,0.3150684931506849,0.42857142857142855,0.07108281264532659,0.11915884305136851,0.03249607988852962,,
Relay bounce,relay_10,measured_state,0.0058,7,0.7117703227626097,0.8693582353988057,0.6167242143691608,1.0,0.9528262329528276,0.0058,7,0.3642611683848797,0.2857142857142857,0.061778268105244026,0.10510841176326914,0.03429641482694026,,
Relay bounce,relay_11,measured_state,0.005919999999999998,7,0.7213241443389417,0.8810272994231076,0.610587705905274,1.0,0.9540920888183324,0.005919999999999998,7,0.3872053872053872,0.2857142857142857,0.08520920644843653,0.09322279846372529,0.033210242707391986,,
Relay bounce,relay_12,measured_state,0.006080000000000002,7,0.7408182206817175,0.9048374180359591,0.6025005705380428,1.0,0.9561190244448469,0.006080000000000002,7,0.4,0.14285714285714285,0.05319703163050728,0.13187376376951981,0.030148166645779795,,
Relay bounce,relay_13,measured_state,0.005760000000000001,7,0.6976763260710316,0.852143788966212,0.6187833918061408,1.0,0.9571555745800026,0.005760000000000001,7,0.42560553633217996,0.2857142857142857,0.07563087085262615,0.14474771210445414,0.036050826694204036,,
Relay bounce,relay_14,measured_state,0.006179999999999998,7,0.7261490370736912,0.8869204367171577,0.5975005946182376,1.0,0.9535224655845193,0.006179999999999998,7,0.3548387096774194,0.5714285714285714,0.0571957526575696,0.22772516633400874,0.032348285570945004,,
Relay bounce,relay_15,measured_state,0.006279999999999997,7,0.716531310573789,0.8810272994231076,0.5925421120354033,1.0,0.9509719692229167,0.006279999999999997,7,0.4,0.2857142857142857,0.018197756461951684,0.23392307230799508,0.03336901443226556,,
Sensor chatter,sensor_00,measured_state,0.003480000000000004,5,0.0028703154759053663,,0.7482635675785649,0.6,0.9602919599136434,0.003480000000000004,5,0.48,1.0,0.86406956684507,0.9231163463866388,0.5591358704846431,,
