label,on_position,off_position,hysteresis_position,rising_edge_time_s,falling_edge_time_s,Case,on_z,off_z,hysteresis_z
m3_h_00,0.6032611335212968,0.5392501201789349,0.06401101334236192,0.05609346821274825,0.1276735806172056,Healthy baseline,2.257255837675359,-0.2826890290493554,1.9032999229312177
m3_h_01,0.6014389845255471,0.538565656350238,0.0628733281753091,0.056093191529915744,0.12767322051445779,Healthy baseline,0.7354653757740431,-1.359858836420575,1.177383825966529
m3_h_02,0.5990111660964677,0.5395643557190762,0.05944681037739141,0.05597357522895286,0.12769327875276765,Healthy baseline,-1.2921574680325358,0.2118367910916788,-1.0089542736045454
m3_h_03,0.6002687936023822,0.5406978401825602,0.05957095341982199,0.056033365946463076,0.1276733476940319,Healthy baseline,-0.2418341697788746,1.9956494485314806,-0.9297430511712087
m3_h_04,0.5994018131250582,0.5400520430273618,0.059349770097696486,0.05597361755622626,0.12765318884054389,Healthy baseline,-0.9659037294711301,0.9793310280383074,-1.070872195297228
m3_h_05,0.600247794503911,0.5398291871913261,0.06041860731258486,0.05601333151087071,0.12763332727422105,Healthy baseline,-0.2593718287938806,0.6286133306092256,-0.3888855070710666
m3_h_06,0.598985165224151,0.5393181826356174,0.059666982588533646,0.05601345722332453,0.12767314889488823,Healthy baseline,-1.3138724208628818,-0.17557624926459545,-0.8684702831289662
m3_h_07,0.6003790988175458,0.5382861396547893,0.06209295916275648,0.05603314953533245,0.12765353998672524,Healthy baseline,-0.14971139347158607,-1.7997461356029207,0.679458350457456
m3_h_08,0.6010428167114028,0.5391148310480818,0.06192798566332103,0.05605334635202538,0.1276733451096636,Healthy baseline,0.4046008842953722,-0.4955992821710463,0.5741946779750066
m3_h_09,0.6015204262630872,0.5415373829685428,0.0599830432945444,0.05607309872606929,0.12757324571802836,Healthy baseline,0.8034824587229599,3.316873599672508,-0.6668032835445536
m3_h_10,0.5984806949633986,0.5400859435096915,0.058394751453707094,0.05593342366947161,0.12759344014715798,Healthy baseline,-1.7351870515086587,1.0326816573775708,-1.680235336041336
m3_h_11,0.6010779908772562,0.540636573336349,0.06044141754090726,0.05605348868102804,0.12759322555996166,Healthy baseline,0.43397702764364715,1.8992312096638118,-0.3743311185686965
m3_h_12,0.6027568234334638,0.5406794350910777,0.062077388342386075,0.05609311304794739,0.12761320428718384,Healthy baseline,1.8360749774410712,1.9666845741063053,0.6695231684957345
m3_h_13,0.5990239371250508,0.5381693224856745,0.06085461463937625,0.056013210788185726,0.1276732678354895,Healthy baseline,-1.2814915842152586,-1.9835862777366935,-0.1106848711848483
m3_h_14,0.6011229829898238,0.5392825584791003,0.06184042451072347,0.05603351771710158,0.12765353465307755,Healthy baseline,0.47155275165186633,-0.23163949790444013,0.5183250472721576
m3_h_15,0.6014926403715525,0.5392714981796999,0.062221142191852596,0.05605323466083645,0.1276733845251086,Healthy baseline,0.7802767248276425,-0.249045560979152,0.7612473434700067
m3_h_16,0.6000413086962022,0.5377604916373022,0.062280817058899984,0.05607336974756037,0.12767328836235975,Healthy baseline,-0.431821026648802,-2.6269807534199283,0.7993237356287836
m3_h_17,0.600855129877012,0.5388134969420403,0.06204163293497167,0.055993371835690246,0.1276930560605062,Healthy baseline,0.2478518834910033,-0.9698215673384732,0.6467089255511017
m3_h_18,0.6007376192211047,0.5395360649376272,0.06120155428347751,0.05611312491556955,0.1276331751826782,Healthy baseline,0.14971139347149334,0.16731438636230078,0.1106848711848483
m3_h_19,0.5998237520861386,0.539529456772591,0.060294295313547575,0.0560129530762619,0.12763345678341687,Healthy baseline,-0.6135161431791472,0.15691483629018013,-0.4682045346547629
m3_h_20,0.5991553347540785,0.539394884136582,0.05976045061749646,0.0559533183224103,0.12769330941498896,Healthy baseline,-1.171753215378674,-0.0548678384542947,-0.8088316864938031
m3_h_21,0.5982571538862481,0.5398874907947105,0.05836966309153757,0.05595334978320333,0.1275936034331062,Healthy baseline,-1.9218801703723063,0.7203681883439649,-1.6962433200361657
m3_h_22,0.6010555734748466,0.5391792534422692,0.06187632003257737,0.05609336798422487,0.1276932897135156,Healthy baseline,0.4152548544036372,-0.39421502338644243,0.5412286922148055
m3_h_23,0.6012915194160569,0.5394646132554707,0.06182690616058617,0.056033284632990635,0.12765320466042201,Healthy baseline,0.6123080502156127,0.0548678384542947,0.509699472945219
m3_d_00,0.7221344066180492,0.658342936853485,0.06379146976456418,0.06325338884960272,0.12047341601390603,Threshold drift,101.5357525992402,187.13873635269437,1.763217040844031
m3_d_01,0.7217447254214324,0.6600959729686692,0.061648752452763245,0.06329327607929773,0.12043334936934721,Threshold drift,101.2103054872988,189.89756376670502,0.3960259822574372
m3_d_02,0.7198515381454595,0.659400850182788,0.0604506879626715,0.06325334229294995,0.12043340632282569,Threshold drift,99.62918651959164,188.80361950555624,-0.36841599496578725
m3_d_03,0.7206321982675009,0.6591995466807187,0.06143265158678224,0.06321335527754607,0.1204336038050557,Threshold drift,100.2811645578752,188.48681963176298,0.2581397710923595
m3_d_04,0.7223718479481992,0.6592218669602722,0.06314998098792701,0.06327298860785832,0.12045354477086857,Threshold drift,101.73405468777759,188.52194600399642,1.353906062316096
m3_d_05,0.7200741237246118,0.659665840153801,0.06040828357081074,0.0631731672709089,0.12047370154045817,Threshold drift,99.81508164238387,189.22064548131127,-0.39547271639028003
m3_d_06,0.7204543730316384,0.6602367333042518,0.060217639727386585,0.06325356600937315,0.12039331576512306,Threshold drift,100.13265159408785,190.1190842871593,-0.5171157145910157
m3_d_07,0.7211058709968652,0.6599672695928559,0.061138601404009285,0.06329322315105748,0.12045318294217283,Threshold drift,100.6767582460372,189.69501779609217,0.07051689688081024
m3_d_08,0.7185094849303364,0.6580361356051976,0.060473349325138814,0.06317291839586482,0.12051349137203976,Threshold drift,98.50835403723029,186.6559101934974,-0.3539565924258133
m3_d_09,0.7209247872113508,0.6597066836653789,0.0612181035459719,0.06321327570064829,0.12041333516342789,Threshold drift,100.5255238638634,189.28492265076,0.12124436196971443
m3_d_10,0.7202922272184272,0.6587766448238442,0.06151558239458299,0.06327332831733998,0.12045318585926817,Threshold drift,99.99723349570097,187.82128101217864,0.3110549448682481
m3_d_11,0.7205075091113237,0.6598096440557628,0.06069786505556085,0.06325343736157814,0.12045325393511075,Threshold drift,100.17702885381605,189.44695579148544,-0.21070115809740286
m3_w_00,0.6989513102521573,0.418329770983645,0.2806215392685123,0.062013182867045116,0.13483323289064894,Wide hysteresis,82.17410050095097,-190.58017998328324,140.11470681778786
m3_w_01,0.7005318173389473,0.4192824007305518,0.28124941660839553,0.06209322502864081,0.13479368342773718,Wide hysteresis,83.49408070852718,-189.08098607711983,140.51533282675774
m3_w_02,0.6994542868059069,0.4183744223258315,0.28107986448007544,0.06205328452690288,0.13487345424295938,Wide hysteresis,82.59416764356203,-190.50991026902608,140.40714769541685
m3_w_03,0.7016110308468299,0.41945517540208493,0.2821558554447449,0.062073266286881305,0.13485309445576496,Wide hysteresis,84.3953993309239,-188.8090832360182,141.09369893477734
m3_w_04,0.7001912853040796,0.42032051565929257,0.279870769644787,0.061973516102766586,0.134853436658195,Wide hysteresis,83.20968113206975,-187.44726050837826,139.63566765057595
m3_w_05,0.7016973473593492,0.4189096360853081,0.28278771127404106,0.06207304882843809,0.1348532094906675,Wide hysteresis,84.46748764300095,-189.66762163662978,141.4968634751354
m3_w_06,0.7002985243301773,0.4192406340622373,0.2810578902679399,0.06201325096976813,0.13485374078358003,Wide hysteresis,83.29924314233327,-189.14671605754623,140.3931267388559
m3_w_07,0.6999592455220257,0.4190267186659768,0.2809325268560489,0.06205341459344359,0.13481331035576594,Wide hysteresis,83.01589021379966,-189.48336380505742,140.31313684244384
m3_w_08,0.700153169332693,0.41983996222806796,0.28031320710462504,0.061993208940909976,0.1348530171248203,Wide hysteresis,83.1778481031366,-188.20352785990403,139.91797112371395
m3_w_09,0.7003711835120888,0.4165372762049624,0.28383390730712643,0.062013243263830044,0.13493322531780677,Wide hysteresis,83.3599253644021,-193.40110517248334,142.16440363737962
m3_w_10,0.7000779819497716,0.4199903654816771,0.28008761646809444,0.06203328718195386,0.1348330964297295,Wide hysteresis,83.11505442245951,-187.96683186966212,139.77402983035395
m3_w_11,0.7000239599498586,0.4190230794509495,0.28100088049890903,0.062053323993234766,0.13485336072234716,Wide hysteresis,83.06993727540282,-189.48909099236164,140.3567508501459
