time_s,source_v,output_v
0.0,0.042925410095900715,-0.08048079841717595
1e-06,-0.00912035846297517,0.03689148022232332
2e-06,0.018185583711204555,0.026002736379796866
3e-06,-0.004774413195189337,0.047436167238545955
4e-06,-0.030167274875709915,0.012648911059019403
4.9999999999999996e-06,0.01487434352895533,0.051779857712030336
6e-06,-0.029364542398997336,-0.002427264315298156
7e-06,-0.011251278436893525,-0.02492744585842748
8e-06,-0.010077312645058538,0.03941595116859406
9e-06,0.013611479378233407,0.054375251276245304
9.999999999999999e-06,0.010084322764182,-0.037991003620956997
1.1e-05,0.04111142713289506,0.018678099291252824
1.2e-05,0.05970782316823136,-0.03302770224242797
1.3e-05,-0.045612647876830274,-0.005819100484975092
1.4e-05,-0.012590628705511623,0.07603729904808466
1.4999999999999999e-05,-0.007868816876453914,-0.03157220014718556
1.6e-05,0.01994782795220213,-0.010410360978372026
1.7e-05,-0.007669902644996478,0.05377458909955435
1.8e-05,0.01378192211569488,-0.08166090530589604
1.8999999999999998e-05,-0.027075206384440016,0.010970778760836382
1.9999999999999998e-05,-0.002164022126587626,-0.016471078878344182
2.1e-05,0.035154727712349475,-0.033686816320017646
2.2e-05,0.003071262385803813,-0.056017989695248585
2.3e-05,-0.008834184444830404,0.034513666754431335
2.4e-05,0.02098720490453829,0.008642037159175501
2.4999999999999998e-05,0.031107798900654945,-0.03791026531748046
2.6e-05,0.011481977779558773,0.10011219218932196
2.7e-05,-0.010660796999486287,-0.011771765961603965
2.8e-05,-0.018096513862307963,0.009069415152729294
2.9e-05,-0.020978004880206,0.0316834347120524
2.9999999999999997e-05,0.015444693116452838,0.03207824512176936
3.1e-05,-0.009605507456828897,-0.0035995917030569326
3.2e-05,-0.019645227317882444,-0.06703364244260233
3.2999999999999996e-05,0.008407842380376672,-0.03496224329241073
3.4e-05,-0.032859274325993,-0.04904574362703849
3.5e-05,-0.041722203412881964,0.0017883478547038381
3.6e-05,-0.04783912594857021,0.014129424813561348
3.7e-05,-0.011518335752246332,0.0048055193289820355
3.7999999999999995e-05,-0.017956182993795894,-0.027828901175111397
3.9e-05,-0.045166018692524096,-0.0412133763471026
3.9999999999999996e-05,-0.03455103889024415,-0.005574059684384486
4.1e-05,-0.025252181788368758,-0.0006661744198535008
4.2e-05,0.008355355975190337,-0.008620149455019236
4.2999999999999995e-05,0.009796980989954298,0.07643840951770285
4.4e-05,-0.02027022867539941,0.0719563761491612
4.4999999999999996e-05,-0.01201197354976502,-0.014297907895992074
4.6e-05,0.06567890059276424,0.03495727720199567
4.7e-05,0.008797626364257129,-0.002829889208567544
4.8e-05,-0.038808732539155885,0.003918983832119295
4.9e-05,-0.012266868570033358,0.004105102890916951
4.9999999999999996e-05,-0.01714087477049965,-0.03986265652950012
5.1e-05,-0.00714161505409557,0.0045967798665356345
5.2e-05,-0.021132827581089305,-0.0026521762450737135
5.3e-05,0.04506288917460932,0.06386689572085565
5.4e-05,-0.03552853791555682,-0.06320348280538526
5.4999999999999995e-05,-0.033416932342213435,-0.03553732459517286
5.6e-05,-0.022515214127594954,0.11283420521428689
5.6999999999999996e-05,-0.0002686385399791092,0.09207284272181433
5.8e-05,-0.0046232440035749375,-0.07981068088035857
5.9e-05,-0.004948062855286682,-0.027060059663247482
5.9999999999999995e-05,0.02445611678845873,0.020653133899149273
6.1e-05,0.007328619843229411,0.01801041456862793
6.2e-05,0.001446971458935189,0.008768524928360243
6.3e-05,0.010910797323542686,0.034555964918177626
6.4e-05,-0.020987101326838096,-0.004059447783456649
6.5e-05,-0.02117371474867588,-0.07430814529387168
6.599999999999999e-05,0.02732419458830875,0.07880417729438531
6.7e-05,0.019637733645572954,-0.0504604815699077
6.8e-05,-0.015346372673401788,-0.02628444458900046
6.9e-05,0.022754496620310087,0.019353805786805543
7e-05,0.04905884355047728,-0.04268785791687428
