time_s,CH1_clean_1kHz_V,CH2_1kHz_3kHz_60Hz_noise_V,CH3_square_500Hz_V,CH4_ringing_event_4p2kHz_V
0.0,0.0,0.030471707975443137,0.0,0.008813851786409302
2e-05,0.2506664671286085,0.34357356433427066,2.5,0.044956174199955616
4e-05,0.4973797743297096,0.9310326927870194,2.5,-0.07361353079168431
6.000000000000001e-05,0.736249105369356,1.2852766219715346,2.5,-0.014264908119377482
8e-05,0.9635073482034306,1.2336843815921936,2.5,0.04145766476895601
0.0001,1.1755705045849463,1.4266220348265692,2.5,0.0032800074171297033
0.00012000000000000002,1.3690942118573775,1.590269845423547,2.5,0.073366690603874
0.00014000000000000001,1.5410264855515785,1.4745617409506828,2.5,-0.07879616790934592
0.00016,1.6886558510040302,1.3676155382750923,2.5,-0.08450008839730666
0.00018,1.8096541049320392,1.1148048485933482,2.5,0.038484325831135896
0.0002,1.902113032590307,1.1219065967062651,2.5,0.043290360746638744
0.00022,1.9645745014573772,0.9808912703245694,2.5,-0.009662500341591667
0.00024000000000000003,1.9960534568565431,0.8386307052084306,2.5,0.020019720002286218
0.00026000000000000003,1.9960534568565431,0.9466283417965414,2.5,0.037260348881570336
0.00028000000000000003,1.9645745014573774,0.9554926612678017,2.5,-0.04069316029258732
0.00030000000000000003,1.9021130325903073,0.9574199477680456,2.5,-0.03534241875246496
0.00032,1.809654104932039,1.2501189257943088,2.5,0.00948630895993183
0.00034,1.6886558510040304,1.2902934644922917,2.5,0.04520444799468601
0.00036,1.5410264855515785,1.6146676054294073,2.5,-0.05829784631789924
0.00038,1.3690942118573777,1.5968791205243227,2.5,-0.009897381596750968
0.0004,1.1755705045849465,1.5664876007709807,2.5,-0.012211831585221935
0.00042,0.9635073482034312,1.3925751433549252,2.5,0.02089795525213821
0.00044,0.7362491053693563,1.3490990149163486,2.5,-0.00043491850044171374
0.00046,0.49737977432970965,0.8799018638768955,2.5,-0.027294179190142973
0.00048000000000000007,0.2506664671286082,0.4478467018058174,2.5,0.06242828903787029
0.0005,2.4492935982947064e-16,0.011631973597608633,2.5,-0.026962874081041
