time_s,CH1_clean_120VAC_peak_V,CH2_harmonic_distortion_V,CH3_voltage_sag_event_V,CH4_switching_transient_V
0.0,0.0,-1.680836130924058,0.0,0.0
5e-05,3.20423475161939,5.05332629648984,3.20423475161939,3.20423475161939
0.0001,6.407331053888872,13.088289981418582,6.407331053888872,6.407331053888872
0.00015000000000000001,9.60815086194417,16.659518827760003,9.60815086194417,9.60815086194417
0.0002,12.805556939748563,15.19491733886245,12.805556939748563,12.805556939748563
0.00025,15.998413264147432,26.23591661309734,15.998413264147432,15.998413264147432
0.00030000000000000003,19.185585428491887,30.02130403093677,19.185585428491887,19.185585428491887
0.00035,22.36594104568802,34.751956254026354,22.36594104568802,22.36594104568802
0.0004,25.5383501505287,38.57015832178805,25.5383501505287,25.5383501505287
0.00045000000000000004,28.70168560116476,42.273111023555465,28.70168560116476,28.70168560116476
0.0005,31.85482347957318,50.20133088355591,31.85482347957318,31.85482347957318
0.00055,34.996643490879826,53.913257920536296,34.996643490879826,34.996643490879826
0.0006000000000000001,38.1260293613948,58.349564030870035,38.1260293613948,38.1260293613948
0.0006500000000000001,41.24186923521926,63.652282485141306,41.24186923521926,41.24186923521926
0.0007,44.34305606928247,66.06670711070188,44.34305606928247,44.34305606928247
0.00075,47.42848802666898,70.98085022850195,47.42848802666898,47.42848802666898
0.0008,50.49706886809594,76.64564288453751,50.49706886809594,50.49706886809594
0.0008500000000000001,53.547708341401815,77.04378629198786,53.547708341401815,53.547708341401815
0.0009000000000000001,56.57932256890773,80.96005181016044,56.57932256890773,56.57932256890773
0.00095,59.59083443251402,80.76384226103049,59.59083443251402,59.59083443251402
0.001,62.58117395639525,87.24736526365068,62.58117395639525,62.58117395639525
0.0010500000000000002,65.54927868715741,92.09403233845214,65.54927868715741,65.54927868715741
0.0011,68.49409407132265,93.17626644604142,68.49409407132265,68.49409407132265
0.00115,71.41457383000706,94.74300932190397,71.41457383000706,71.41457383000706
0.0012000000000000001,74.3096803306586,94.12200688306363,74.3096803306586,74.3096803306586
0.00125,77.17838495572295,104.9386738486226,77.17838495572295,77.17838495572295
0.0013000000000000002,80.01966846810653,105.58250089498095,80.01966846810653,80.01966846810653
0.00135,82.83252137330649,103.63077607880007,82.83252137330649,82.83252137330649
0.0014,85.61594427807934,108.84059476437325,85.61594427807934,85.61594427807934
0.0014500000000000001,88.3689482455206,109.93974628206725,88.3689482455206,88.3689482455206
0.0015,91.09055514642944,110.58029804611232,91.09055514642944,91.09055514642944
0.0015500000000000002,93.77979800683315,113.53214893328152,93.77979800683315,93.77979800683315
0.0016,96.43572135154861,118.67814683917761,96.43572135154861,96.43572135154861
0.00165,99.05738154365793,111.83809647161834,99.05738154365793,99.05738154365793
0.0017000000000000001,101.6438471197782,118.12610692672119,101.6438471197782,101.6438471197782
0.00175,104.19419912100598,119.92808528755042,104.19419912100598,104.19419912100598
0.0018000000000000002,106.70753141941908,121.89348661629693,106.70753141941908,106.70753141941908
0.00185,109.18295104001935,122.91893149707204,109.18295104001935,109.18295104001935
0.0019,111.6195784780026,126.90468976308006,111.6195784780026,111.6195784780026
0.0019500000000000001,114.0165480112424,122.96092355216499,114.0165480112424,114.0165480112424
0.002,116.37300800787706,124.02360431981103,116.37300800787706,116.37300800787706
0.00205,118.68812122889034,123.49057852614125,118.68812122889034,118.68812122889034
0.0021000000000000003,120.96106512557851,126.79989364213147,120.96106512557851,120.96106512557851
0.00215,123.19103213179793,126.55503542011257,123.19103213179793,123.19103213179793
0.0022,125.37722995088957,128.77231174306925,125.37722995088957,125.37722995088957
0.0022500000000000003,127.51888183717813,129.73195622233732,127.51888183717813,127.51888183717813
0.0023,129.61522687194613,128.54787703194117,129.61522687194613,129.61522687194613
0.00235,131.66552023378475,131.0249451349248,131.66552023378475,131.66552023378475
0.0024000000000000002,133.66903346322522,132.30332171190886,133.66903346322522,133.66903346322522
0.00245,135.62505472155706,135.51582477758697,135.62505472155706,135.62505472155706
0.0025,137.53288904374108,131.08742980687626,137.53288904374108,137.53288904374108
0.00255,139.3918585853269,136.65075317235136,139.3918585853269,139.3918585853269
0.0026000000000000003,141.20130286328816,136.53510657273046,141.20130286328816,141.20130286328816
0.00265,142.96057899068873,134.2955883985058,142.96057899068873,142.96057899068873
0.0027,144.6690619050976,137.23599719360905,144.6690619050976,144.6690619050976
0.0027500000000000003,146.32614459067042,138.58616705792423,146.32614459067042,146.32614459067042
0.0028,147.93123829381935,137.89723988690304,147.93123829381935,147.93123829381935
0.00285,149.48377273239456,142.19613483974715,149.48377273239456,149.48377273239456
0.0029000000000000002,150.98319629830257,143.21877267240353,150.98319629830257,150.98319629830257
0.00295,152.42897625349008,144.18078588925638,152.42897625349008,152.42897625349008
0.003,153.82059891922333,142.98071509493442,153.82059891922333,153.82059891922333
0.00305,155.15756985859548,145.71435105439542,155.15756985859548,155.15756985859548
0.0031000000000000003,156.43941405219798,142.54969616798195,156.43941405219798,156.43941405219798
0.00315,157.66567606689242,148.32808171698562,157.66567606689242,157.66567606689242
0.0032,158.83592021762405,150.88236106026503,158.83592021762405,158.83592021762405
0.0032500000000000003,159.94973072221833,147.7099739236911,159.94973072221833,159.94973072221833
0.0033,161.00671184910652,152.09393785035093,161.00671184910652,161.00671184910652
0.00335,162.0064880579272,150.25703304607302,162.0064880579272,162.0064880579272
0.0034000000000000002,162.94870413295388,153.42242114522716,162.94870413295388,162.94870413295388
0.0034500000000000004,163.83302530930166,152.02419532279615,163.83302530930166,163.83302530930166
0.0035,164.6591373918673,155.48504470032591,164.6591373918673,164.6591373918673
